,time,PLUS_DI,MINUS_DI,ADX
0,2022-10-28 19:00,20.4012,9.7543,
1,2022-10-28 20:00,21.2514,9.4741,
2,2022-10-31 05:00,24.0331,8.794,
3,2022-10-31 06:00,21.6859,14.9111,
4,2022-10-31 07:00,20.1706,13.8691,
5,2022-10-31 08:00,25.3809,12.0549,
6,2022-10-31 09:00,22.2881,12.8746,
7,2022-10-31 10:00,37.842,9.9564,
8,2022-10-31 11:00,32.1368,16.9357,
9,2022-10-31 12:00,30.0055,15.8125,
10,2022-10-31 13:00,29.6277,14.6192,
11,2022-10-31 14:00,28.1955,13.9125,
12,2022-10-31 15:00,26.9336,14.2844,
13,2022-10-31 16:00,25.3073,15.4346,
14,2022-10-31 17:00,24.7704,15.1072,33.04
15,2022-10-31 18:00,23.6879,16.632,32.25
16,2022-10-31 19:00,22.8804,18.3378,30.76
17,2022-10-31 20:00,22.9793,17.482,28.23
18,2022-11-01 05:00,29.4733,15.0274,27.88
19,2022-11-01 06:00,28.163,14.3593,28.87
20,2022-11-01 07:00,28.3422,13.8616,28.65
21,2022-11-01 08:00,26.9984,15.575,29.19
22,2022-11-01 09:00,27.3198,14.4928,26.94
23,2022-11-01 10:00,24.7492,15.4467,26.92
24,2022-11-01 11:00,22.5027,19.7178,26.36
25,2022-11-01 12:00,20.4988,23.5276,24.4
26,2022-11-01 13:00,19.5609,23.5949,22.47
27,2022-11-01 14:00,18.008,25.1241,20.95
28,2022-11-01 15:00,16.5897,28.771,20.4
29,2022-11-01 16:00,17.927,27.1275,20.58
30,2022-11-01 17:00,18.771,24.9764,20.79
31,2022-11-01 18:00,18.3239,24.3815,21.02
32,2022-11-01 19:00,18.88,23.4782,21.06
33,2022-11-01 20:00,18.1556,22.5774,19.52
34,2022-11-02 05:00,24.0964,20.5921,17.97
35,2022-11-02 06:00,22.8594,19.535,16.08
36,2022-11-02 07:00,23.5894,19.0095,14.73
37,2022-11-02 08:00,21.7033,24.1525,13.3
38,2022-11-02 09:00,19.9827,23.5591,12.03
39,2022-11-02 10:00,17.4935,29.3442,12.15
40,2022-11-02 11:00,15.073,35.6872,13.46
41,2022-11-02 12:00,14.1898,34.768,15.7
42,2022-11-02 13:00,13.6722,34.7157,17.52
43,2022-11-02 14:00,13.1554,33.4034,18.71
44,2022-11-02 15:00,23.5987,28.0707,20.36
45,2022-11-02 16:00,21.4877,28.3551,19.96
46,2022-11-02 17:00,20.2674,29.0165,19.93
47,2022-11-02 18:00,21.6543,27.663,20.43
48,2022-11-02 19:00,20.6185,26.3399,20.52
49,2022-11-02 20:00,19.6085,25.0496,20.83
50,2022-11-03 05:00,22.7808,22.9324,21.14
51,2022-11-03 06:00,22.2034,22.3512,20.4
52,2022-11-03 07:00,21.6135,21.7573,20.04
53,2022-11-03 08:00,21.0122,21.152,19.48
54,2022-11-03 09:00,19.5481,22.4653,17.69
55,2022-11-03 10:00,16.1541,30.9666,15.29
56,2022-11-03 11:00,14.9556,28.6692,14.53
57,2022-11-03 12:00,14.1993,27.2194,13.67
58,2022-11-03 13:00,13.8559,27.8898,12.81
59,2022-11-03 14:00,13.6605,27.4964,14.59
60,2022-11-03 15:00,13.4561,27.0849,16.01
61,2022-11-03 16:00,13.2427,26.6554,17.14
62,2022-11-03 17:00,17.192,24.9508,18.67
63,2022-11-03 18:00,16.6197,24.1202,19.12
64,2022-11-03 19:00,21.8327,22.1364,19.56
65,2022-11-03 20:00,19.735,21.6108,19.59
66,2022-11-04 05:00,24.1865,18.4322,19.89
67,2022-11-04 06:00,22.0874,16.8325,20.83
68,2022-11-04 07:00,22.5895,16.0809,21.77
69,2022-11-04 08:00,21.8879,17.1344,22.48
70,2022-11-04 09:00,20.8422,17.9083,21.1
71,2022-11-04 10:00,15.5191,36.3204,19.4
72,2022-11-04 11:00,14.0681,32.9245,20.02
73,2022-11-04 12:00,12.7037,32.7621,20.48
74,2022-11-04 13:00,11.6399,30.0187,21.23
75,2022-11-04 14:00,11.0709,29.7764,21.98
76,2022-11-04 15:00,10.6493,28.6425,22.85
77,2022-11-04 16:00,14.9901,26.6397,24.81
78,2022-11-04 17:00,14.9285,24.3098,25.49
79,2022-11-04 18:00,14.3493,23.3666,27.15
80,2022-11-04 19:00,13.7737,22.4294,28.53
81,2022-11-04 20:00,13.2034,22.8809,29.28
82,2022-11-07 05:00,20.3101,21.0075,30.23
83,2022-11-07 06:00,19.4525,20.1204,29.15
84,2022-11-07 07:00,18.6064,19.2452,28.4
85,2022-11-07 08:00,17.0126,24.735,27.98
86,2022-11-07 09:00,19.9158,21.4818,26.43
87,2022-11-07 10:00,15.8208,31.9148,23.84
